3.728000000000000114e+02,9.951999999999999735e-01,1.014853566532047280e+00,3.070128623114316141e-02,9.885000000000000453e-01,9.959128710989888500e-01,3.068865418640084192e-02
3.681999999999999886e+02,9.882999999999999563e-01,9.953423518067179288e-01,3.068827533115894499e-02,9.371000000000000441e-01,8.377017039484895289e-01,3.059240588923152482e-02
3.655000000000000000e+02,9.815000000000000391e-01,9.757613655491466087e-01,3.067534444081032249e-02,9.173999999999999932e-01,7.692921852713724418e-01,3.056262266504342767e-02
3.633999999999999773e+02,9.780999999999999694e-01,9.658334722188867127e-01,3.066885025279759980e-02,9.127999999999999448e-01,7.525097478947496699e-01,3.055736695424867214e-02
3.616999999999999886e+02,9.697000000000000064e-01,9.408921243576279236e-01,3.065277001912596402e-02,8.978000000000000425e-01,6.952664003994228903e-01,3.054828456017627536e-02
3.603999999999999773e+02,9.673000000000000487e-01,9.336533717352095696e-01,3.064817759997989083e-02,8.826000000000000512e-01,6.325877997313803514e-01,3.056094989517177743e-02
3.508999999999999773e+02,8.048999999999999488e-01,9.691370528724524425e-02,4.643970709620534598e-02,8.112000000000000322e-01,1.843579873410574055e-01,3.650922186206900788e-02
3.513000000000000114e+02,8.235000000000000098e-01,3.011544632219512185e-01,3.236413616925495895e-02,8.167999999999999705e-01,2.428080502906792282e-01,3.381332872056144745e-02
3.518999999999999773e+02,8.408999999999999808e-01,4.219766308872049398e-01,3.105990459268285694e-02,8.217999999999999750e-01,2.872275924249724222e-01,3.263677981228924052e-02
3.526999999999999886e+02,8.618000000000000105e-01,5.365857540422777072e-01,3.066191347773065956e-02,8.289999999999999591e-01,3.430866444641826885e-01,3.173557994908940416e-02
3.531999999999999886e+02,8.768000000000000238e-01,6.071668052112718650e-01,3.057582587000366725e-02,8.344000000000000306e-01,3.805612749071470846e-01,3.135214309027164331e-02
3.536999999999999886e+02,8.833999999999999631e-01,6.360233720114573108e-01,3.055943782983540358e-02,8.407000000000000028e-01,4.207533358794719458e-01,3.106699901156521545e-02
3.543000000000000114e+02,9.015999999999999570e-01,7.101600952785245280e-01,3.054911682589487448e-02,8.459999999999999742e-01,4.522224471615070573e-01,3.090837273081083192e-02
3.548000000000000114e+02,9.156999999999999584e-01,7.631288714178202648e-01,3.056057903946433896e-02,8.527000000000000135e-01,4.895234197790699904e-01,3.077333542108273354e-02
3.553000000000000114e+02,9.264000000000000012e-01,8.012040128154128693e-01,3.057505788064684982e-02,8.570999999999999730e-01,5.127451667807091384e-01,3.071147590405802486e-02
3.566000000000000227e+02,9.459999999999999520e-01,8.669892019693014040e-01,3.060816318586273566e-02,8.662999999999999590e-01,5.585790351686078514e-01,3.062654712589891332e-02
3.576000000000000227e+02,9.553000000000000380e-01,8.966555995179846805e-01,3.062538381897042181e-02,8.695000000000000506e-01,5.737690905454346790e-01,3.060703246952597295e-02
3.585000000000000000e+02,9.624000000000000332e-01,9.187114399204040494e-01,3.063882469701760536e-02,8.810000000000000053e-01,6.256665161822344556e-01,3.056433908345899605e-02
